Bank information,,,,,,,Mandatory criteria,,,,,,,,,,,,,Additional capabilities (non-mandatory for certification),,,,,,,,,,,,,,,,,,,,,,,,,
BIC of the mother organisation,BIC8 (branch BIC),Name of the mother organisation,Name of BIC8 (Branch Name),Country,Country code,Certification,SCORE,Credit Transfers (MT101),Payments pain.001 ISO 20022 (advanced certification only),Cash Reporting (MT940),MT 942 (advanced certification only),Cash Management camt.053 ISO 20022 (advanced certification only),File Act (RT or S&F),Testing,Onboarding guide,Support,Staff trained,Documentation,Contact email,gpi,,Treasury (MT),,Cash Management (MT),,Trade MT798,,,,Trade FA,Payments (ISO20022),,Cash Management (ISO20022),,,eStatements (PDF),Bank Account Management (ISO20022),CGI-MP guidelines,3SKey,,MyStandards,,TSU / BPO,Staff certified,Hyperlink to bank's webpage
ANZBAU3M,ANZBTWTP,AUSTRALIA AND NEW ZEALAND BANKING,ANZ BANK (TAIWAN) LIMITED,Taiwan,TW,advanced,yes,yes,no,yes,yes,no,yes,yes,yes,yes,yes,yes,,no,no,yes,yes,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,http://www.anz.com.au/corporate/products-services/transaction-services/electronic-banking/anz-score-services/
ANZBAU3M,ANZBVNVX,AUSTRALIA AND NEW ZEALAND BANKING,ANZ Bank (Vietnam) Limited,Vietnam,VN,entry,yes,yes,no,yes,no,no,yes,yes,yes,yes,yes,yes,,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,http://www.anz.com.au/corporate/products-services/transaction-services/electronic-banking/anz-score-services/
ANZBAU3M,ANZBNZ22,AUSTRALIA AND NEW ZEALAND BANKING,ANZ BANK NEW ZEALAND LIMITED,New Zealand,NZ,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,no,no,yes,yes,no,yes,no,yes,yes,no,no,yes,no,yes,yes,no,no,no,no,no,no,no,no,no,no,http://www.anz.com.au/corporate/products-services/transaction-services/electronic-banking/anz-score-services/
ANZBAU3M,ANZBIDJX,AUSTRALIA AND NEW ZEALAND BANKING,"ANZ PANIN BANK, P.T.",Indonesia,ID,entry,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,,no,no,no,no,no,no,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,http://www.anz.com.au/corporate/products-services/transaction-services/electronic-banking/anz-score-services/
ANZBAU3M,ANZBKHPP,AUSTRALIA AND NEW ZEALAND BANKING,ANZ ROYAL BANK OF (CAMBODIA) LTD,Cambodia,KH,entry,yes,yes,no,yes,no,no,yes,yes,yes,yes,yes,yes,,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,http://www.anz.com.au/corporate/products-services/transaction-services/electronic-banking/anz-score-services/
ANZBAU3M,ANZBHKHX,AUSTRALIA AND NEW ZEALAND BANKING,AUSTRALIA & NEW ZEAL BKING GP LTD,Hong Kong,HK,advanced,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,,no,no,yes,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,http://www.anz.com.au/corporate/products-services/transaction-services/electronic-banking/anz-score-services/
ANZBAU3M,ANZBPGPX,AUSTRALIA AND NEW ZEALAND BANKING,AUSTRALIA & NEW ZEALAND BANKING,Papua New Guinea,PG,entry,yes,yes,no,yes,no,no,yes,yes,yes,yes,yes,yes,,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,http://www.anz.com.au/corporate/products-services/transaction-services/electronic-banking/anz-score-services/
ANZBAU3M,ANZBSGSX,AUSTRALIA AND NEW ZEALAND BANKING,AUSTRALIA & NEW ZEALAND BANKING,Singapore,SG,advanced,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,,no,no,yes,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,http://www.anz.com.au/corporate/products-services/transaction-services/electronic-banking/anz-score-services/
BARCGB22,BARCIE2D,BARCLAYS BANK PLC,BARCLAYS BANK IRELAND PLC,Ireland,IE,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,yes,yes,yes,yes,no,yes,no,no,no,no,no,yes,no,yes,yes,no,no,no,yes,yes,no,yes,yes,no,yes,https://www.barclayscorporate.com/
BARCGB22,BARCDEFF,BARCLAYS BANK PLC,BARCLAYS BANK PLC,Germany,DE,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,yes,yes,yes,yes,no,yes,no,no,no,no,no,yes,no,yes,yes,no,no,no,yes,yes,no,yes,yes,no,yes,https://www.barclayscorporate.com/
BARCGB22,BARCINBB,BARCLAYS BANK PLC,BARCLAYS BANK PLC,India,IN,not certified,yes,yes,no,yes,no,yes,no,no,yes,yes,yes,yes,,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,https://www.barclayscorporate.com/
BARCGB22,BARCITMM,BARCLAYS BANK PLC,BARCLAYS BANK PLC,Italy,IT,not certified,yes,yes,no,yes,yes,yes,no,no,yes,yes,yes,yes,,yes,yes,yes,yes,no,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,https://www.barclayscorporate.com/
BARCGB22,BARCPTPC,BARCLAYS BANK PLC,BARCLAYS BANK PLC,Portugal,PT,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,yes,yes,yes,yes,no,yes,no,no,no,no,no,yes,no,yes,yes,no,no,no,yes,yes,no,yes,yes,no,yes,https://www.barclayscorporate.com/
BARCGB22,BARCAEAD,BARCLAYS BANK PLC,BARCLAYS BANK PLC,United Arab Emirates,AE,not certified,yes,yes,no,yes,yes,yes,no,no,yes,yes,yes,yes,,yes,yes,yes,yes,no,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,https://www.barclayscorporate.com/
BARCGB22,BARCGB22,BARCLAYS BANK PLC,BARCLAYS BANK PLC,United Kingdom,GB,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,yes,yes,yes,yes,no,yes,no,no,no,no,no,yes,no,yes,yes,yes,no,no,yes,yes,no,yes,yes,no,yes,https://www.barclayscorporate.com/
BARCGB22,BARCUS33,BARCLAYS BANK PLC,BARCLAYS BANK PLC,United States,US,not certified,yes,yes,no,yes,yes,yes,no,no,yes,yes,yes,yes,,yes,yes,yes,yes,no,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,https://www.barclayscorporate.com/
BARCGB22,BARCFRPC,BARCLAYS BANK PLC,BARCLAYS BANK PLC FRANCE,France,FR,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,yes,yes,yes,yes,no,yes,no,no,no,no,no,yes,no,yes,yes,no,no,no,yes,yes,no,yes,yes,no,yes,https://www.barclayscorporate.com/
BARCGB22,BPLCESMM,BARCLAYS BANK PLC,BARCLAYS BANK PLC,Spain,ES,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,yes,yes,yes,yes,no,yes,no,no,no,no,no,yes,no,yes,yes,no,no,no,yes,yes,no,yes,yes,no,yes,https://www.barclayscorporate.com/
BBVAESMM,GEROCOBB,BANCO BILBAO VIZCAYA ARGENTARIA S.A,BANCO BILBAO VIZCAYA ARGENTARIA,Colombia,CO,advanced,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,,no,no,yes,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,http://www.bbvacib.com/global-transactional-banking
BBVAESMM,BBVAFRPP,BANCO BILBAO VIZCAYA ARGENTARIA S.A,BANCO BILBAO VIZCAYA ARGENTARIA,France,FR,advanced,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,http://www.bbvacib.com/global-transactional-banking
BBVAESMM,BBVAPTPL,BANCO BILBAO VIZCAYA ARGENTARIA S.A,BANCO BILBAO VIZCAYA ARGENTARIA,Portugal,PT,advanced,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,http://www.bbvacib.com/global-transactional-banking
BBVAESMM,BBVAESMM,BANCO BILBAO VIZCAYA ARGENTARIA S.A,BANCO BILBAO VIZCAYA ARGENTARIA S.A,Spain,ES,advanced,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,http://www.bbvacib.com/global-transactional-banking
BBVAESMM,BBVAGB2L,BANCO BILBAO VIZCAYA ARGENTARIA S.A,BANCO BILBAO VIZCAYA ARGENTARIA S.A,United Kingdom,GB,advanced,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,http://www.bbvacib.com/global-transactional-banking
BBVAESMM,BBVAUS33,BANCO BILBAO VIZCAYA ARGENTARIA S.A,"BANCO BILBAO VIZCAYA ARGENTARIA,",United States,US,advanced,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,http://www.bbvacib.com/global-transactional-banking
BBVAESMM,BCONPEPL,BANCO BILBAO VIZCAYA ARGENTARIA S.A,BANCO CONTINENTAL,Peru,PE,advanced,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,http://www.bbvacib.com/global-transactional-banking
BBVAESMM,BPROVECA,BANCO BILBAO VIZCAYA ARGENTARIA S.A,BANCO PROVINCIAL S.A. BANCO,Venezuela,VE,advanced,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,http://www.bbvacib.com/global-transactional-banking
BBVAESMM,BFRPARBA,BANCO BILBAO VIZCAYA ARGENTARIA S.A,BBVA - BANCO FRANCES S.A.,Argentina,AR,advanced,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,http://www.bbvacib.com/global-transactional-banking
BBVAESMM,BCMRMXMM,BANCO BILBAO VIZCAYA ARGENTARIA S.A,"BBVA BANCOMER, S.A.",Mexico,MX,advanced,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,http://www.bbvacib.com/global-transactional-banking
BCITITMM,IBSPIT3P,INTESA SANPAOLO SPA,BANCA DELL'ADRIATICO S.P.A.,Italy,IT,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,http://www.inbiz.intesasanpaolo.com/scriptFvcv0/vetrinaFVC/it/home/cash_management/product.jsp?contentId=CNT-04-000000012C58E
BILLLULL,BILLLULL,BANQUE INTERNATIONALE A LUXEMBOURG,BANQUE INTERNATIONALE A LUXEMBOURG,Luxembourg,LU,advanced,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,SWIFT_SERVICES@bil.com,no,no,yes,yes,yes,yes,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,https://www.bil.com/swift
BKCHCNBJ,BKCHCNBJ,Bank of China,"BANK OF CHINA, BEIJING (HEAD",China,CN,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,"xjgl_hq@mail.notes.bank-of-china.com
",yes,no,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,yes,no,no,no,no,no,no,no,no,yes,no,http://www.bankofchina.com/cbservice/cb14/
BKKBTHBK,BKKBTHBK,BANGKOK BANK PUBLIC COMPANY LIMITED,BANGKOK BANK PUBLIC COMPANY LIMITED,Thailand,TH,advanced,yes,yes,no,yes,yes,no,yes,yes,yes,yes,yes,yes,,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,http://www.bangkokbank.com/BangkokBank/BusinessBanking/Corporations/SWIFTforCorporates/Pages/Default.aspx
BNORPHMM,BNORPHMM,"BDO UNIBANK, INC.","BDO UNIBANK, INC.",Philippines,PH,entry,yes,yes,no,yes,no,no,yes,yes,yes,yes,yes,yes,lee.mayette@bdo.com.ph,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,
BNPAFRPP,BNLIITRR,BNP-Paribas SA,BANCA NAZIONALE DEL LAVORO SPA,Italy,IT,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,no,no,no,no,no,no,no,no,no,no,no,yes,no,yes,yes,yes,no,no,yes,yes,no,yes,yes,no,no,http://entreprises.bnpparibas.fr/nos-solutions/Gestion-des-flux/Realiser-vos-operations-a-distance/Teletransmission/Swiftnet/
BNPAFRPP,BWSTUS66,BNP-Paribas SA,BANK OF THE WEST,United States,US,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,no,no,no,no,no,no,no,no,no,no,no,yes,no,yes,yes,no,no,no,yes,yes,no,yes,yes,no,no,http://entreprises.bnpparibas.fr/nos-solutions/Gestion-des-flux/Realiser-vos-operations-a-distance/Teletransmission/Swiftnet/
BNPAFRPP,BGLLLULL,BNP-Paribas SA,BGL BNP PARIBAS,Luxembourg,LU,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,no,no,yes,yes,no,no,no,no,no,no,no,yes,no,yes,yes,yes,no,no,yes,yes,no,yes,yes,no,no,http://entreprises.bnpparibas.fr/nos-solutions/Gestion-des-flux/Realiser-vos-operations-a-distance/Teletransmission/Swiftnet/
BNPAFRPP,BNPADZAL,BNP-Paribas SA,BNP PARIBAS EL DJAZAIR,Algeria,DZ,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,no,no,no,no,no,no,no,no,no,no,no,yes,no,yes,yes,yes,no,no,no,yes,no,yes,yes,no,no,http://entreprises.bnpparibas.fr/nos-solutions/Gestion-des-flux/Realiser-vos-operations-a-distance/Teletransmission/Swiftnet/
BNPAFRPP,BNPABRSP,BNP-Paribas SA,BANCO BNP PARIBAS BRASIL S/A,Brazil,BR,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,no,no,yes,yes,no,no,no,no,no,no,no,yes,no,yes,yes,no,no,no,no,yes,no,yes,yes,no,no,http://entreprises.bnpparibas.fr/nos-solutions/Gestion-des-flux/Realiser-vos-operations-a-distance/Teletransmission/Swiftnet/
BNPAFRPP,BNPAIDJA,BNP-Paribas SA,"BANK BNP PARIBAS INDONESIA, PT",Indonesia,ID,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,no,no,yes,yes,no,no,no,no,no,no,no,yes,no,yes,yes,no,no,no,yes,yes,no,yes,yes,no,no,http://entreprises.bnpparibas.fr/nos-solutions/Gestion-des-flux/Realiser-vos-operations-a-distance/Teletransmission/Swiftnet/
BNPAFRPP,BICICIAB,BNP-Paribas SA,BICICI,Ivory Coast,CI,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,no,no,no,no,no,no,no,no,no,no,no,yes,no,yes,yes,no,no,no,no,yes,no,yes,yes,no,no,http://entreprises.bnpparibas.fr/nos-solutions/Gestion-des-flux/Realiser-vos-operations-a-distance/Teletransmission/Swiftnet/
BNPAFRPP,BNPAJPJT,BNP-Paribas SA,BNP PARIBAS S.A. - TOKYO BRANCH,Japan,JP,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,no,no,yes,yes,no,no,no,no,no,no,no,yes,no,yes,yes,no,no,no,no,yes,no,yes,yes,no,no,http://entreprises.bnpparibas.fr/nos-solutions/Gestion-des-flux/Realiser-vos-operations-a-distance/Teletransmission/Swiftnet/
BNPAFRPP,BNPAKRSE,BNP-Paribas SA,BNP PARIBAS SEOUL BRANCH,Korea,KR,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,no,no,yes,yes,no,no,no,no,no,no,no,yes,no,yes,yes,no,no,no,no,yes,no,yes,yes,no,no,http://entreprises.bnpparibas.fr/nos-solutions/Gestion-des-flux/Realiser-vos-operations-a-distance/Teletransmission/Swiftnet/
BNPAFRPP,BNPAMYKL,BNP-Paribas SA,BNP PARIBAS MALAYSIA BERHAD,Malaysia,MY,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,no,no,yes,no,no,no,no,no,no,no,no,yes,no,yes,yes,no,no,no,no,yes,no,yes,yes,no,no,http://entreprises.bnpparibas.fr/nos-solutions/Gestion-des-flux/Realiser-vos-operations-a-distance/Teletransmission/Swiftnet/
BNPAFRPP,BNPAZAJJ,BNP-Paribas SA,BNP PARIBAS JOHANNESBURG,South Africa,ZA,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,no,no,yes,no,no,no,no,no,no,no,no,yes,no,yes,yes,yes,no,no,no,yes,no,yes,yes,no,no,http://entreprises.bnpparibas.fr/nos-solutions/Gestion-des-flux/Realiser-vos-operations-a-distance/Teletransmission/Swiftnet/
BNPAFRPP,BNPATWTP,BNP-Paribas SA,"BNP PARIBAS, TAIPEI BRANCH",Taiwan,TW,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,no,no,yes,yes,no,no,no,no,no,no,no,yes,no,yes,yes,no,no,no,no,yes,no,yes,yes,no,no,http://entreprises.bnpparibas.fr/nos-solutions/Gestion-des-flux/Realiser-vos-operations-a-distance/Teletransmission/Swiftnet/
BNPAFRPP,BNPATHBK,BNP-Paribas SA,BNP PARIBAS BANGKOK BRANCH,Thailand,TH,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,no,no,yes,yes,no,no,no,no,no,no,no,yes,no,yes,yes,no,no,no,no,yes,no,yes,yes,no,no,http://entreprises.bnpparibas.fr/nos-solutions/Gestion-des-flux/Realiser-vos-operations-a-distance/Teletransmission/Swiftnet/
BNPAFRPP,UBCITNTT,BNP-Paribas SA,UNION BANCAIRE POUR LE COMMERCE ET L'INDUSTRIE (GROUPE BNP PARIBAS),Tunisia,TN,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,no,no,yes,yes,no,no,no,no,no,no,no,yes,no,yes,yes,no,no,no,no,yes,no,yes,yes,no,no,http://entreprises.bnpparibas.fr/nos-solutions/Gestion-des-flux/Realiser-vos-operations-a-distance/Teletransmission/Swiftnet/
BNPAFRPP,KHABUA2K,BNP-Paribas SA,UKRSIBBANK,Ukraine,UA,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,no,no,yes,yes,no,no,no,no,no,no,no,yes,no,yes,yes,no,no,no,no,yes,no,yes,yes,no,no,http://entreprises.bnpparibas.fr/nos-solutions/Gestion-des-flux/Realiser-vos-operations-a-distance/Teletransmission/Swiftnet/
BNPAFRPP,BNPAUS3N,BNP-Paribas SA,BNP PARIBAS (FORMERLY BANQUE,United States (NY),,,no,no,no,no,no,no,no,no,no,no,no,no,,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,
BNPAFRPP,BNPAVNVN,BNP-Paribas SA,BNP PARIBAS VIETNAM,Vietnam,VN,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,no,no,yes,yes,no,no,no,no,no,no,no,yes,no,yes,yes,no,no,no,no,yes,no,yes,yes,no,no,http://entreprises.bnpparibas.fr/nos-solutions/Gestion-des-flux/Realiser-vos-operations-a-distance/Teletransmission/Swiftnet/
BNPAFRPP,BNPASGSG,BNP-Paribas SA,BNP PARIBAS - SINGAPORE BRANCH,Singapore,SG,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,no,no,no,no,no,no,no,no,no,no,no,yes,no,yes,yes,no,no,no,yes,yes,no,yes,yes,no,no,http://entreprises.bnpparibas.fr/nos-solutions/Gestion-des-flux/Realiser-vos-operations-a-distance/Teletransmission/Swiftnet/
BNPAFRPP,BNPACNSH,BNP-Paribas SA,BNP PARIBAS (CHINA) LTD,China,CN,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,no,no,no,no,no,no,no,no,no,no,no,yes,no,yes,yes,no,no,no,no,yes,no,yes,yes,no,no,http://entreprises.bnpparibas.fr/nos-solutions/Gestion-des-flux/Realiser-vos-operations-a-distance/Teletransmission/Swiftnet/
BNPAFRPP,BNPAFRPP,BNP-Paribas SA,BNP PARIBAS (FORMERLY BANQUE,France,FR,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,yes,no,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no,no,http://entreprises.bnpparibas.fr/nos-solutions/Gestion-des-flux/Realiser-vos-operations-a-distance/Teletransmission/Swiftnet/
BNPAFRPP,BNPAGPGX,BNP-Paribas SA,BNP PARIBAS (FORMERLY BANQUE,Guadeloupe,GP,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,no,no,yes,yes,yes,no,no,no,no,no,no,yes,no,yes,yes,no,no,no,yes,yes,no,yes,yes,no,no,http://entreprises.bnpparibas.fr/nos-solutions/Gestion-des-flux/Realiser-vos-operations-a-distance/Teletransmission/Swiftnet/
BNPAFRPP,BPPBCHGG,BNP-Paribas SA,BNP PARIBAS (SUISSE) SA,Switzerland,CH,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,no,no,yes,no,no,no,no,no,no,no,no,yes,no,yes,yes,yes,no,no,no,yes,no,yes,yes,no,no,http://entreprises.bnpparibas.fr/nos-solutions/Gestion-des-flux/Realiser-vos-operations-a-distance/Teletransmission/Swiftnet/
BNPAFRPP,BNPAAU2S,BNP-Paribas SA,BNP PARIBAS AUSTRALIA,Australia,AU,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,no,no,no,no,no,no,no,no,no,no,no,yes,no,yes,yes,no,no,no,no,yes,no,yes,yes,no,no,http://entreprises.bnpparibas.fr/nos-solutions/Gestion-des-flux/Realiser-vos-operations-a-distance/Teletransmission/Swiftnet/
